gsis_id,gamekey,start_time,week,day_of_week,season_year,season_type,finished,home_team,home_score,home_score_q1,home_score_q2,home_score_q3,home_score_q4,home_score_q5,home_turnovers,away_team,away_score,away_score_q1,away_score_q2,away_score_q3,away_score_q4,away_score_q5,away_turnovers,time_inserted,time_updated
2010101705,54943,2010-10-17 13:00:00-04,6,Sunday,2010,Regular,t,NYG,28,7,7,7,7,0,3,DET,20,7,3,0,10,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010101706,54944,2010-10-17 13:00:00-04,6,Sunday,2010,Regular,t,PHI,31,14,7,7,3,0,1,ATL,17,0,7,3,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010101707,54939,2010-10-17 13:00:00-04,6,Sunday,2010,Regular,t,CHI,20,7,6,0,7,0,0,SEA,23,7,7,2,7,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010101709,54948,2010-10-17 16:05:00-04,6,Sunday,2010,Regular,t,DEN,20,0,10,7,3,0,1,NYJ,24,0,7,3,14,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010101710,54949,2010-10-17 16:05:00-04,6,Sunday,2010,Regular,t,SF,17,0,3,7,7,0,1,OAK,9,3,3,0,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010101711,54950,2010-10-17 16:15:00-04,6,Sunday,2010,Regular,t,MIN,24,7,0,14,3,0,2,DAL,21,7,7,0,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010101712,54951,2010-10-17 20:20:00-04,6,Sunday,2010,Regular,t,WAS,24,7,0,10,7,0,0,IND,27,7,10,7,3,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010101800,54952,2010-10-18 20:30:00-04,6,Monday,2010,Regular,t,JAC,3,0,0,3,0,0,1,TEN,30,7,10,3,10,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102400,54953,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,ATL,39,7,17,0,15,0,0,CIN,32,3,0,22,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102401,54818,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,MIA,22,6,10,3,3,0,0,PIT,23,0,17,3,3,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102402,54954,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,BAL,37,3,17,14,0,3,1,BUF,34,10,14,0,10,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102403,54817,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,KC,42,7,7,14,14,0,1,JAC,20,3,10,7,0,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102404,54819,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,NO,17,0,3,0,14,0,1,CLE,30,10,10,0,10,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102406,54955,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,CAR,23,3,7,3,10,0,0,SF,20,7,3,0,10,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102407,54820,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,TB,18,3,3,6,6,0,0,STL,17,0,17,0,0,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102408,54821,2010-10-24 13:00:00-04,7,Sunday,2010,Regular,t,TEN,37,0,7,3,27,0,1,PHI,19,0,13,3,3,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102409,54822,2010-10-24 16:05:00-04,7,Sunday,2010,Regular,t,SEA,22,3,7,9,3,0,1,ARI,10,0,0,7,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102410,54823,2010-10-24 16:15:00-04,7,Sunday,2010,Regular,t,SD,20,3,0,0,17,0,2,NE,23,7,6,7,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102412,54825,2010-10-24 20:20:00-04,7,Sunday,2010,Regular,t,GB,28,7,7,14,0,0,3,MIN,24,7,10,7,0,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010102500,54826,2010-10-25 20:30:00-04,7,Monday,2010,Regular,t,DAL,35,10,10,0,15,0,0,NYG,41,7,17,14,3,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103100,54833,2010-10-31 13:00:00-04,8,Sunday,2010,Regular,t,SF,24,3,0,0,21,0,0,DEN,16,0,0,7,9,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103101,54828,2010-10-31 13:00:00-04,8,Sunday,2010,Regular,t,DAL,17,3,0,0,14,0,0,JAC,35,7,7,14,7,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103102,54827,2010-10-31 13:00:00-04,8,Sunday,2010,Regular,t,CIN,14,7,7,0,0,0,0,MIA,22,3,9,3,7,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103104,54829,2010-10-31 13:00:00-04,8,Sunday,2010,Regular,t,DET,37,0,7,7,23,0,2,WAS,25,0,13,0,12,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103105,54832,2010-10-31 13:00:00-04,8,Sunday,2010,Regular,t,STL,20,0,10,0,10,0,3,CAR,10,0,3,0,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103106,54831,2010-10-31 13:00:00-04,8,Sunday,2010,Regular,t,NYJ,0,0,0,0,0,0,0,GB,9,3,0,0,6,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103107,54834,2010-10-31 16:05:00-04,8,Sunday,2010,Regular,t,SD,33,7,7,10,9,0,2,TEN,25,5,14,0,6,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103108,54835,2010-10-31 16:15:00-04,8,Sunday,2010,Regular,t,NE,28,0,7,14,7,0,2,MIN,18,0,7,3,8,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103109,54837,2010-10-31 16:15:00-04,8,Sunday,2010,Regular,t,ARI,35,7,7,14,7,0,0,TB,38,7,17,7,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103110,54836,2010-10-31 16:15:00-04,8,Sunday,2010,Regular,t,OAK,33,3,7,3,20,0,1,SEA,3,0,0,0,3,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010103111,54838,2010-10-31 20:20:00-04,8,Sunday,2010,Regular,t,NO,20,0,3,3,14,0,2,PIT,10,0,3,0,7,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110100,54839,2010-11-01 20:30:00-04,8,Monday,2010,Regular,t,IND,30,7,10,10,3,0,2,HOU,17,0,3,7,7,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110700,54845,2010-11-07 13:00:00-05,9,Sunday,2010,Regular,t,DET,20,7,0,6,7,0,1,NYJ,23,0,10,0,10,3,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110701,54841,2010-11-07 13:00:00-05,9,Sunday,2010,Regular,t,BAL,26,7,6,7,6,0,3,MIA,10,7,3,0,0,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110702,54844,2010-11-07 13:00:00-05,9,Sunday,2010,Regular,t,CLE,34,10,7,7,10,0,3,NE,14,0,7,0,7,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110703,54846,2010-11-07 13:00:00-05,9,Sunday,2010,Regular,t,HOU,23,10,10,3,0,0,0,SD,29,14,0,7,8,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110704,54842,2010-11-07 13:00:00-05,9,Sunday,2010,Regular,t,BUF,19,0,7,6,6,0,0,CHI,22,0,7,7,8,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2015110807,56631,2015-11-08 16:05:00-05,9,Sunday,2015,Regular,t,TB,18,6,3,3,6,0,0,NYG,32,10,7,3,12,0,0,2015-05-22 17:54:43.143038-04,2015-11-11 03:00:09.440684-05
2015113000,56678,2015-11-30 20:30:00-05,12,Monday,2015,Regular,t,CLE,27,0,13,7,7,0,0,BAL,33,10,7,7,9,0,0,2015-05-22 17:54:43.143038-04,2015-12-01 16:52:24.058275-05
2010110706,54840,2010-11-07 13:00:00-05,9,Sunday,2010,Regular,t,ATL,27,7,10,10,0,0,3,TB,21,0,14,7,0,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110707,54843,2010-11-07 13:00:00-05,9,Sunday,2010,Regular,t,CAR,3,3,0,0,0,0,0,NO,34,7,10,10,7,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010110708,54848,2010-11-07 16:05:00-05,9,Sunday,2010,Regular,t,SEA,7,0,0,0,7,0,3,NYG,41,21,14,6,0,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111400,54859,2010-11-14 13:00:00-05,10,Sunday,2010,Regular,t,MIA,29,7,3,10,9,0,2,TEN,17,10,0,7,0,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111401,54856,2010-11-14 13:00:00-05,10,Sunday,2010,Regular,t,CLE,20,10,3,0,7,0,1,NYJ,26,3,14,0,3,6,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111402,54857,2010-11-14 13:00:00-05,10,Sunday,2010,Regular,t,IND,23,10,10,0,3,0,3,CIN,17,0,10,0,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111403,54858,2010-11-14 13:00:00-05,10,Sunday,2010,Regular,t,JAC,31,3,14,0,14,0,2,HOU,24,3,0,14,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111404,54855,2010-11-14 13:00:00-05,10,Sunday,2010,Regular,t,CHI,27,0,14,6,7,0,2,MIN,13,3,7,3,0,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111405,54860,2010-11-14 13:00:00-05,10,Sunday,2010,Regular,t,TB,31,7,14,0,10,0,3,CAR,16,3,7,6,0,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111407,54861,2010-11-14 16:05:00-05,10,Sunday,2010,Regular,t,DEN,49,21,14,7,7,0,1,KC,29,0,10,7,12,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111408,54862,2010-11-14 16:15:00-05,10,Sunday,2010,Regular,t,NYG,20,3,3,14,0,0,0,DAL,33,6,13,14,0,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111409,54956,2010-11-14 16:15:00-05,10,Sunday,2010,Regular,t,ARI,18,7,3,0,8,0,1,SEA,36,7,10,9,10,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111500,54959,2010-11-15 20:30:00-05,10,Monday,2010,Regular,t,WAS,28,0,14,7,7,0,2,PHI,59,28,17,14,0,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010111800,54960,2010-11-18 20:20:00-05,11,Thursday,2010,Regular,t,MIA,0,0,0,0,0,0,0,CHI,16,3,3,10,0,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112101,54967,2010-11-21 13:00:00-05,11,Sunday,2010,Regular,t,NYJ,30,3,10,7,10,0,0,HOU,27,0,7,0,20,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112103,54968,2010-11-21 13:00:00-05,11,Sunday,2010,Regular,t,PIT,35,0,21,0,14,0,2,OAK,3,3,0,0,0,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112106,54966,2010-11-21 13:00:00-05,11,Sunday,2010,Regular,t,MIN,3,3,0,0,0,0,3,GB,31,0,17,7,7,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112107,54970,2010-11-21 16:05:00-05,11,Sunday,2010,Regular,t,NO,34,7,20,7,0,0,1,SEA,19,3,13,0,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112109,54965,2010-11-21 13:00:00-05,11,Sunday,2010,Regular,t,KC,31,0,14,7,10,0,2,ARI,13,3,0,3,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112110,54971,2010-11-21 16:05:00-05,11,Sunday,2010,Regular,t,STL,17,7,3,7,0,0,0,ATL,34,3,13,7,11,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112111,54972,2010-11-21 16:05:00-05,11,Sunday,2010,Regular,t,SF,0,0,0,0,0,0,0,TB,21,0,7,7,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112112,54973,2010-11-21 16:15:00-05,11,Sunday,2010,Regular,t,NE,31,7,14,7,3,0,3,IND,28,0,14,0,14,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112113,54974,2010-11-21 20:20:00-05,11,Sunday,2010,Regular,t,PHI,27,7,6,3,11,0,0,NYG,17,0,3,7,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112200,54975,2010-11-22 20:30:00-05,11,Monday,2010,Regular,t,SD,35,7,14,7,7,0,2,DEN,14,7,0,0,7,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112500,54976,2010-11-25 00:30:00-05,12,Thursday,2010,Regular,t,DET,24,7,10,7,0,0,1,NE,45,3,7,14,21,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112501,54977,2010-11-25 16:15:00-05,12,Thursday,2010,Regular,t,DAL,27,0,6,14,7,0,0,NO,30,17,3,3,7,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112502,54978,2010-11-25 20:20:00-05,12,Thursday,2010,Regular,t,NYJ,26,0,3,14,9,0,3,CIN,10,0,7,0,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112800,54985,2010-11-28 13:00:00-05,12,Sunday,2010,Regular,t,NYG,24,3,3,3,15,0,3,JAC,20,7,10,0,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112801,54981,2010-11-28 13:00:00-05,12,Sunday,2010,Regular,t,BUF,16,0,0,7,9,0,1,PIT,19,7,6,0,3,3,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112802,54984,2010-11-28 13:00:00-05,12,Sunday,2010,Regular,t,HOU,20,0,14,3,3,0,1,TEN,0,0,0,0,0,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112803,54986,2010-11-28 13:00:00-05,12,Sunday,2010,Regular,t,WAS,13,7,0,0,6,0,0,MIN,17,7,0,10,0,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112806,54980,2010-11-28 16:15:00-05,12,Sunday,2010,Regular,t,BAL,17,0,17,0,0,0,2,TB,10,0,3,0,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112807,54983,2010-11-28 13:00:00-05,12,Sunday,2010,Regular,t,CLE,24,14,7,0,3,0,1,CAR,23,7,6,7,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112808,54987,2010-11-28 16:05:00-05,12,Sunday,2010,Regular,t,SEA,24,7,3,7,7,0,0,KC,42,7,14,0,21,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112810,54989,2010-11-28 16:15:00-05,12,Sunday,2010,Regular,t,DEN,33,10,3,0,20,0,0,STL,36,7,19,7,3,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112811,54990,2010-11-28 20:20:00-05,12,Sunday,2010,Regular,t,IND,14,7,7,0,0,0,1,SD,36,10,6,10,10,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010112900,54991,2010-11-29 20:30:00-05,12,Monday,2010,Regular,t,ARI,6,3,3,0,0,0,2,SF,27,14,7,3,3,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010120500,54998,2010-12-05 13:00:00-05,13,Sunday,2010,Regular,t,MIN,38,7,24,0,7,0,2,BUF,14,7,0,0,7,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010120503,54996,2010-12-05 13:00:00-05,13,Sunday,2010,Regular,t,KC,10,7,3,0,0,0,1,DEN,6,0,3,0,3,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010120505,54994,2010-12-05 13:00:00-05,13,Sunday,2010,Regular,t,DET,20,7,10,3,0,0,0,CHI,24,7,7,3,7,0,3,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010120506,54995,2010-12-05 13:00:00-05,13,Sunday,2010,Regular,t,GB,34,0,14,14,6,0,1,SF,16,3,10,3,0,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010120507,55000,2010-12-05 16:15:00-05,13,Sunday,2010,Regular,t,TB,24,7,7,3,7,0,0,ATL,28,7,7,0,14,0,1,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010080851,55073,2010-08-08 20:00:00-04,0,Sunday,2010,Preseason,t,CIN,7,0,0,0,7,0,2,DAL,16,3,3,3,7,0,3,2014-07-13 10:20:00.334742-04,2014-11-26 19:45:36.346334-05
2010120508,54993,2010-12-05 13:00:00-05,13,Sunday,2010,Regular,t,CIN,30,0,6,6,18,0,0,NO,34,3,10,7,14,0,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010120509,55002,2010-12-05 16:05:00-05,13,Sunday,2010,Regular,t,SD,13,0,3,3,7,0,0,OAK,28,14,7,0,7,0,0,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
2010120510,55004,2010-12-05 16:15:00-05,13,Sunday,2010,Regular,t,IND,35,0,7,7,21,0,1,DAL,38,10,7,10,8,3,2,2013-09-04 01:36:23.420121-04,2014-11-26 19:45:36.346334-05
